user_id,amount,source,frequency,date
14,2353.94,Salary,MONTHLY,2024-09-01
14,2353.94,Salary,MONTHLY,2024-10-01
14,2353.94,Salary,MONTHLY,2024-11-25
14,2353.94,Salary,MONTHLY,2024-12-01
14,2353.94,Salary,MONTHLY,2025-01-28
15,6033.56,Salary,MONTHLY,2024-08-28
15,6033.56,Salary,MONTHLY,2024-09-25
15,6033.56,Salary,MONTHLY,2024-10-01
15,6033.56,Salary,MONTHLY,2024-11-25
15,6033.56,Salary,MONTHLY,2024-12-01
15,6033.56,Salary,MONTHLY,2025-01-01
16,5100.09,Salary,MONTHLY,2024-08-28
16,5100.09,Salary,MONTHLY,2024-09-25
16,5100.09,Salary,MONTHLY,2024-10-01
16,5100.09,Salary,MONTHLY,2024-11-01
16,5100.09,Salary,MONTHLY,2024-12-28
16,5100.09,Salary,MONTHLY,2025-01-28
17,2597.8,Salary,MONTHLY,2024-08-28
17,2597.8,Salary,MONTHLY,2024-09-28
17,2597.8,Salary,MONTHLY,2024-10-25
17,2597.8,Salary,MONTHLY,2024-11-28
17,2597.8,Salary,MONTHLY,2024-12-01
17,2597.8,Salary,MONTHLY,2025-01-01
18,3892.83,Salary,MONTHLY,2024-08-28
18,3892.83,Salary,MONTHLY,2024-09-01
18,3892.83,Salary,MONTHLY,2024-10-25
18,3892.83,Salary,MONTHLY,2024-11-01
18,3892.83,Salary,MONTHLY,2024-12-28
18,3892.83,Salary,MONTHLY,2025-01-25
19,4930.83,Salary,MONTHLY,2024-08-28
19,4930.83,Salary,MONTHLY,2024-09-01
19,4930.83,Salary,MONTHLY,2024-10-01
19,4930.83,Salary,MONTHLY,2024-11-28
19,4930.83,Salary,MONTHLY,2024-12-01
19,4930.83,Salary,MONTHLY,2025-01-25
20,4387.35,Salary,MONTHLY,2024-08-28
20,4387.35,Salary,MONTHLY,2024-09-28
20,4387.35,Salary,MONTHLY,2024-10-25
20,4387.35,Salary,MONTHLY,2024-11-28
20,4387.35,Salary,MONTHLY,2024-12-25
20,4387.35,Salary,MONTHLY,2025-01-01
21,1602.06,Salary,MONTHLY,2024-08-01
21,1602.06,Salary,MONTHLY,2024-09-28
21,1602.06,Salary,MONTHLY,2024-10-28
21,1602.06,Salary,MONTHLY,2024-11-01
21,1602.06,Salary,MONTHLY,2024-12-01
21,1602.06,Salary,MONTHLY,2025-01-25
22,1306.19,Salary,MONTHLY,2024-08-25
22,1306.19,Salary,MONTHLY,2024-09-01
22,1306.19,Salary,MONTHLY,2024-10-25
22,1306.19,Salary,MONTHLY,2024-11-28
22,1306.19,Salary,MONTHLY,2024-12-28
22,1306.19,Salary,MONTHLY,2025-01-28
23,5183.91,Salary,MONTHLY,2024-08-25
23,5183.91,Salary,MONTHLY,2024-09-01
23,5183.91,Salary,MONTHLY,2024-10-28
23,5183.91,Salary,MONTHLY,2024-11-28
23,5183.91,Salary,MONTHLY,2024-12-01
23,5183.91,Salary,MONTHLY,2025-01-28
24,6700.53,Salary,MONTHLY,2024-08-01
24,6700.53,Salary,MONTHLY,2024-09-25
24,6700.53,Salary,MONTHLY,2024-10-01
24,6700.53,Salary,MONTHLY,2024-11-28
24,6700.53,Salary,MONTHLY,2024-12-01
24,6700.53,Salary,MONTHLY,2025-01-28
25,1813.62,Salary,MONTHLY,2024-08-01
25,1813.62,Salary,MONTHLY,2024-09-01
25,1813.62,Salary,MONTHLY,2024-10-01
25,1813.62,Salary,MONTHLY,2024-11-28
25,1813.62,Salary,MONTHLY,2024-12-28
25,1813.62,Salary,MONTHLY,2025-01-28
26,4864.71,Salary,MONTHLY,2024-08-25
26,4864.71,Salary,MONTHLY,2024-09-25
26,4864.71,Salary,MONTHLY,2024-10-25
26,4864.71,Salary,MONTHLY,2024-11-28
26,4864.71,Salary,MONTHLY,2024-12-01
26,4864.71,Salary,MONTHLY,2025-01-25
27,2934.89,Salary,MONTHLY,2024-08-25
27,2934.89,Salary,MONTHLY,2024-09-25
27,2934.89,Salary,MONTHLY,2024-10-01
27,2934.89,Salary,MONTHLY,2024-11-01
27,2934.89,Salary,MONTHLY,2024-12-28
27,2934.89,Salary,MONTHLY,2025-01-25
28,1087.92,Salary,MONTHLY,2024-08-28
28,1087.92,Salary,MONTHLY,2024-09-25
28,1087.92,Salary,MONTHLY,2024-10-01
28,1087.92,Salary,MONTHLY,2024-11-28
28,1087.92,Salary,MONTHLY,2024-12-01
28,1087.92,Salary,MONTHLY,2025-01-28
29,1973.37,Salary,MONTHLY,2024-08-28
29,1973.37,Salary,MONTHLY,2024-09-01
29,1973.37,Salary,MONTHLY,2024-10-28
29,1973.37,Salary,MONTHLY,2024-11-28
29,1973.37,Salary,MONTHLY,2024-12-25
29,1973.37,Salary,MONTHLY,2025-01-25
30,3039.34,Salary,MONTHLY,2024-08-01
30,3039.34,Salary,MONTHLY,2024-09-01
30,3039.34,Salary,MONTHLY,2024-10-01
30,3039.34,Salary,MONTHLY,2024-11-01
30,3039.34,Salary,MONTHLY,2024-12-25
30,3039.34,Salary,MONTHLY,2025-01-28
31,4348.61,Salary,MONTHLY,2024-08-28
31,4348.61,Salary,MONTHLY,2024-09-28
31,4348.61,Salary,MONTHLY,2024-10-28
31,4348.61,Salary,MONTHLY,2024-11-25
31,4348.61,Salary,MONTHLY,2024-12-28
31,4348.61,Salary,MONTHLY,2025-01-25
32,7124.27,Salary,MONTHLY,2024-08-25
32,7124.27,Salary,MONTHLY,2024-09-28
32,7124.27,Salary,MONTHLY,2024-10-25
32,7124.27,Salary,MONTHLY,2024-11-01
32,7124.27,Salary,MONTHLY,2024-12-25
32,7124.27,Salary,MONTHLY,2025-01-28
33,6543.44,Salary,MONTHLY,2024-08-28
33,6543.44,Salary,MONTHLY,2024-09-01
33,6543.44,Salary,MONTHLY,2024-10-28
33,6543.44,Salary,MONTHLY,2024-11-01
33,6543.44,Salary,MONTHLY,2024-12-25
33,6543.44,Salary,MONTHLY,2025-01-28
34,5752.13,Salary,MONTHLY,2024-08-25
34,5752.13,Salary,MONTHLY,2024-09-28
34,5752.13,Salary,MONTHLY,2024-10-28
34,5752.13,Salary,MONTHLY,2024-11-28
34,5752.13,Salary,MONTHLY,2024-12-28
34,5752.13,Salary,MONTHLY,2025-01-01
35,6282.77,Salary,MONTHLY,2024-08-28
35,6282.77,Salary,MONTHLY,2024-09-25
35,6282.77,Salary,MONTHLY,2024-10-25
35,6282.77,Salary,MONTHLY,2024-11-01
35,6282.77,Salary,MONTHLY,2024-12-25
35,6282.77,Salary,MONTHLY,2025-01-28
36,4311.29,Salary,MONTHLY,2024-08-25
36,4311.29,Salary,MONTHLY,2024-09-01
36,4311.29,Salary,MONTHLY,2024-10-28
36,4311.29,Salary,MONTHLY,2024-11-28
36,4311.29,Salary,MONTHLY,2024-12-28
36,4311.29,Salary,MONTHLY,2025-01-28
37,4015.07,Salary,MONTHLY,2024-08-01
37,4015.07,Salary,MONTHLY,2024-09-28
37,4015.07,Salary,MONTHLY,2024-10-28
37,4015.07,Salary,MONTHLY,2024-11-28
37,4015.07,Salary,MONTHLY,2024-12-28
37,4015.07,Salary,MONTHLY,2025-01-01
38,4903.17,Salary,MONTHLY,2024-08-25
38,4903.17,Salary,MONTHLY,2024-09-01
38,4903.17,Salary,MONTHLY,2024-10-25
38,4903.17,Salary,MONTHLY,2024-11-28
38,4903.17,Salary,MONTHLY,2024-12-01
38,4903.17,Salary,MONTHLY,2025-01-01
39,984.33,Salary,MONTHLY,2024-08-01
39,984.33,Salary,MONTHLY,2024-09-01
39,984.33,Salary,MONTHLY,2024-10-25
39,984.33,Salary,MONTHLY,2024-11-01
39,984.33,Salary,MONTHLY,2024-12-28
39,984.33,Salary,MONTHLY,2025-01-01
40,5698.25,Salary,MONTHLY,2024-08-28
40,5698.25,Salary,MONTHLY,2024-09-25
40,5698.25,Salary,MONTHLY,2024-10-28
40,5698.25,Salary,MONTHLY,2024-11-01
40,5698.25,Salary,MONTHLY,2024-12-25
40,5698.25,Salary,MONTHLY,2025-01-01
41,3780.64,Salary,MONTHLY,2024-08-28
41,3780.64,Salary,MONTHLY,2024-09-25
41,3780.64,Salary,MONTHLY,2024-10-25
41,3780.64,Salary,MONTHLY,2024-11-01
41,3780.64,Salary,MONTHLY,2024-12-01
41,3780.64,Salary,MONTHLY,2025-01-25
42,500.0,Salary,MONTHLY,2024-08-28
42,500.0,Salary,MONTHLY,2024-09-28
42,500.0,Salary,MONTHLY,2024-10-25
42,500.0,Salary,MONTHLY,2024-11-28
42,500.0,Salary,MONTHLY,2024-12-01
42,500.0,Salary,MONTHLY,2025-01-25
43,5406.25,Salary,MONTHLY,2024-08-01
43,5406.25,Salary,MONTHLY,2024-09-28
43,5406.25,Salary,MONTHLY,2024-10-25
43,5406.25,Salary,MONTHLY,2024-11-28
43,5406.25,Salary,MONTHLY,2024-12-01
43,5406.25,Salary,MONTHLY,2025-01-28
44,6083.39,Salary,MONTHLY,2024-08-01
44,6083.39,Salary,MONTHLY,2024-09-28
44,6083.39,Salary,MONTHLY,2024-10-01
44,6083.39,Salary,MONTHLY,2024-11-28
44,6083.39,Salary,MONTHLY,2024-12-28
44,6083.39,Salary,MONTHLY,2025-01-01
45,5562.92,Salary,MONTHLY,2024-08-01
45,5562.92,Salary,MONTHLY,2024-09-25
45,5562.92,Salary,MONTHLY,2024-10-25
45,5562.92,Salary,MONTHLY,2024-11-28
45,5562.92,Salary,MONTHLY,2024-12-28
45,5562.92,Salary,MONTHLY,2025-01-28
46,7897.82,Salary,MONTHLY,2024-08-01
46,7897.82,Salary,MONTHLY,2024-09-28
46,7897.82,Salary,MONTHLY,2024-10-25
46,7897.82,Salary,MONTHLY,2024-11-01
46,7897.82,Salary,MONTHLY,2024-12-25
46,7897.82,Salary,MONTHLY,2025-01-28
47,3896.04,Salary,MONTHLY,2024-08-28
47,3896.04,Salary,MONTHLY,2024-09-28
47,3896.04,Salary,MONTHLY,2024-10-28
47,3896.04,Salary,MONTHLY,2024-11-28
47,3896.04,Salary,MONTHLY,2024-12-25
47,3896.04,Salary,MONTHLY,2025-01-25
48,1736.92,Salary,MONTHLY,2024-08-28
48,1736.92,Salary,MONTHLY,2024-09-28
48,1736.92,Salary,MONTHLY,2024-10-01
48,1736.92,Salary,MONTHLY,2024-11-25
48,1736.92,Salary,MONTHLY,2024-12-28
48,1736.92,Salary,MONTHLY,2025-01-28
49,500.0,Salary,MONTHLY,2024-08-01
49,500.0,Salary,MONTHLY,2024-09-28
49,500.0,Salary,MONTHLY,2024-10-01
49,500.0,Salary,MONTHLY,2024-11-28
49,500.0,Salary,MONTHLY,2024-12-25
49,500.0,Salary,MONTHLY,2025-01-01
50,3742.96,Salary,MONTHLY,2024-08-01
50,3742.96,Salary,MONTHLY,2024-09-01
50,3742.96,Salary,MONTHLY,2024-10-25
50,3742.96,Salary,MONTHLY,2024-11-01
50,3742.96,Salary,MONTHLY,2024-12-25
50,3742.96,Salary,MONTHLY,2025-01-01
