user_id,amount,category,frequency,due_day,is_paid,description
18,33.98,INTERNET,MONTHLY,22,False,Internet
18,662.15,RENT,MONTHLY,5,False,Rent
19,1143.2,RENT,MONTHLY,28,False,Rent
19,31.52,WATER,MONTHLY,21,False,Water
19,32.71,PHONE,MONTHLY,9,False,Phone
19,83.09,ELECTRICITY,MONTHLY,11,False,Electricity
20,927.35,RENT,MONTHLY,27,False,Rent
20,105.85,ELECTRICITY,MONTHLY,18,False,Electricity
21,35.61,INTERNET,MONTHLY,18,False,Internet
21,1130.48,RENT,MONTHLY,14,False,Rent
22,141.05,ELECTRICITY,MONTHLY,28,False,Electricity
22,882.41,RENT,MONTHLY,7,False,Rent
22,44.5,PHONE,MONTHLY,15,False,Phone
23,984.89,RENT,MONTHLY,13,False,Rent
23,45.39,INTERNET,MONTHLY,27,False,Internet
24,49.26,INSURANCE,MONTHLY,19,False,Insurance
24,30.7,INTERNET,MONTHLY,2,False,Internet
24,1025.27,RENT,MONTHLY,1,False,Rent
25,777.39,RENT,MONTHLY,5,False,Rent
25,35.76,WATER,MONTHLY,22,False,Water
25,53.21,INTERNET,MONTHLY,22,False,Internet
25,67.41,INSURANCE,MONTHLY,6,False,Insurance
26,1076.24,RENT,MONTHLY,26,False,Rent
26,131.52,ELECTRICITY,MONTHLY,22,False,Electricity
26,22.54,PHONE,MONTHLY,17,False,Phone
27,1031.01,RENT,MONTHLY,13,False,Rent
27,54.72,INSURANCE,MONTHLY,8,False,Insurance
27,90.33,ELECTRICITY,MONTHLY,23,False,Electricity
28,136.1,ELECTRICITY,MONTHLY,22,False,Electricity
28,918.68,RENT,MONTHLY,18,False,Rent
28,37.86,PHONE,MONTHLY,25,False,Phone
28,74.57,INSURANCE,MONTHLY,20,False,Insurance
29,129.95,ELECTRICITY,MONTHLY,8,False,Electricity
29,38.15,WATER,MONTHLY,11,False,Water
29,46.79,PHONE,MONTHLY,3,False,Phone
29,683.02,RENT,MONTHLY,8,False,Rent
30,45.7,PHONE,MONTHLY,25,False,Phone
30,58.78,INSURANCE,MONTHLY,16,False,Insurance
30,603.54,RENT,MONTHLY,12,False,Rent
31,891.39,RENT,MONTHLY,13,False,Rent
31,30.08,PHONE,MONTHLY,22,False,Phone
32,62.51,INSURANCE,MONTHLY,25,False,Insurance
32,1174.37,RENT,MONTHLY,2,False,Rent
32,52.63,WATER,MONTHLY,8,False,Water
32,30.98,INTERNET,MONTHLY,1,False,Internet
33,719.0,RENT,MONTHLY,19,False,Rent
33,40.72,PHONE,MONTHLY,21,False,Phone
33,42.14,INSURANCE,MONTHLY,23,False,Insurance
33,53.17,WATER,MONTHLY,28,False,Water
34,1179.28,RENT,MONTHLY,9,False,Rent
34,60.8,INSURANCE,MONTHLY,18,False,Insurance
35,58.44,WATER,MONTHLY,3,False,Water
35,42.07,INSURANCE,MONTHLY,14,False,Insurance
35,893.15,RENT,MONTHLY,25,False,Rent
35,32.21,INTERNET,MONTHLY,16,False,Internet
36,1170.53,RENT,MONTHLY,23,False,Rent
36,39.26,INSURANCE,MONTHLY,7,False,Insurance
37,145.87,ELECTRICITY,MONTHLY,16,False,Electricity
37,668.45,RENT,MONTHLY,3,False,Rent
37,42.02,WATER,MONTHLY,3,False,Water
38,48.29,WATER,MONTHLY,24,False,Water
38,34.96,INSURANCE,MONTHLY,25,False,Insurance
38,724.67,RENT,MONTHLY,7,False,Rent
39,95.74,ELECTRICITY,MONTHLY,5,False,Electricity
39,47.25,PHONE,MONTHLY,27,False,Phone
39,685.34,RENT,MONTHLY,2,False,Rent
39,34.98,WATER,MONTHLY,10,False,Water
40,911.38,RENT,MONTHLY,15,False,Rent
40,47.48,PHONE,MONTHLY,6,False,Phone
41,35.55,PHONE,MONTHLY,20,False,Phone
41,47.69,INTERNET,MONTHLY,21,False,Internet
41,865.22,RENT,MONTHLY,2,False,Rent
41,40.18,INSURANCE,MONTHLY,18,False,Insurance
42,108.56,ELECTRICITY,MONTHLY,8,False,Electricity
42,59.77,WATER,MONTHLY,4,False,Water
42,876.87,RENT,MONTHLY,4,False,Rent
42,62.39,INSURANCE,MONTHLY,5,False,Insurance
43,1118.42,RENT,MONTHLY,9,False,Rent
43,68.63,INSURANCE,MONTHLY,28,False,Insurance
43,37.45,INTERNET,MONTHLY,26,False,Internet
44,873.21,RENT,MONTHLY,11,False,Rent
44,73.48,INSURANCE,MONTHLY,23,False,Insurance
44,27.16,PHONE,MONTHLY,13,False,Phone
45,115.16,ELECTRICITY,MONTHLY,19,False,Electricity
45,29.96,PHONE,MONTHLY,4,False,Phone
45,1124.51,RENT,MONTHLY,15,False,Rent
45,34.99,INSURANCE,MONTHLY,15,False,Insurance
46,50.57,INTERNET,MONTHLY,28,False,Internet
46,36.01,PHONE,MONTHLY,11,False,Phone
46,976.08,RENT,MONTHLY,25,False,Rent
46,114.16,ELECTRICITY,MONTHLY,18,False,Electricity
47,38.31,INTERNET,MONTHLY,23,False,Internet
47,779.68,RENT,MONTHLY,1,False,Rent
48,25.25,PHONE,MONTHLY,20,False,Phone
48,73.54,INSURANCE,MONTHLY,20,False,Insurance
48,127.82,ELECTRICITY,MONTHLY,16,False,Electricity
48,1147.7,RENT,MONTHLY,5,False,Rent
49,77.26,INSURANCE,MONTHLY,19,False,Insurance
49,100.94,ELECTRICITY,MONTHLY,14,False,Electricity
49,1014.19,RENT,MONTHLY,15,False,Rent
49,50.36,INTERNET,MONTHLY,7,False,Internet
50,57.32,WATER,MONTHLY,24,False,Water
50,898.04,RENT,MONTHLY,10,False,Rent
50,68.79,INSURANCE,MONTHLY,8,False,Insurance
